t,roll,pitch,yaw,up,cmd_roll_deg,cmd_pitch_deg,cmd_yaw_deg,thrust,bx,by,bz,blend,bearing_deg,desired_roll,d_lat,d_vert,vY_imu,vY_fused,vD,vX,v_target,pitch_des,elev_i,elev_err,agl,turn_ff,reliable,vision_valid,bl_found,bl_hdg,bl_conf,bl_hdg_valid,bl_span,bl_paired,bl_cy,bl_gap,src_switch,source,infer_ms,mode,gate,gate_id,peek_side,peek_strength,peek_active,occ_gap,collision
1785568438.634,0.000,-17.800,0.000,0.9521,2.836,15.800,-0.767,0.2582,8.660,-0.171,-1.938,1.000,-1.134,-2.836,-0.0000,-0.0000,0.000,0.000,-0.000,-0.000,1.648,-2.000,0.0059,0.802,nan,1.90,1,1,1,0.0664,1.000,1,0.529,8,-0.005,1,0,yolo,106.9,yolo,0,0,0,0.000,0,-1,0
1785568438.664,0.000,-17.800,0.000,0.9521,2.836,15.800,-0.607,0.2581,8.660,-0.171,-1.938,1.000,-1.134,-2.836,0.0000,0.0000,0.000,0.000,-0.000,-0.000,1.648,-2.000,0.0058,0.802,nan,1.74,1,1,1,0.0608,1.000,1,0.530,8,0.025,0,0,yolo,106.9,yolo,0,0,0,0.000,0,-1,0
1785568438.700,-0.011,-17.769,-0.002,0.9523,2.820,15.769,-0.487,0.2584,8.660,-0.171,-1.938,1.000,-1.134,-2.831,-0.0003,0.0045,-0.000,-0.000,0.004,0.016,1.653,-2.000,0.0058,0.797,nan,1.62,1,1,1,0.0566,1.000,1,0.530,8,0.025,3,0,yolo,106.9,yolo,0,0,0,0.000,0,-1,0
1785568438.726,-0.007,-16.422,-0.001,0.9592,1.320,14.422,-0.615,0.2750,8.200,-0.128,-1.932,1.000,-0.893,0.136,-0.3452,2.0000,-0.001,-0.061,-0.008,0.033,1.984,-2.000,0.0057,0.466,nan,1.51,1,1,1,0.0526,1.000,1,0.531,8,0.019,0,0,yolo,120.5,yolo,0,0,0,0.000,0,-1,0
1785568438.764,-0.185,-14.581,0.036,0.9678,2.275,12.922,-0.530,0.2721,8.200,-0.128,-1.932,1.000,-0.893,-2.460,0.0562,-0.0101,-0.005,-0.005,-0.018,0.055,2.200,-2.000,0.0057,0.195,nan,1.42,1,1,1,0.0497,1.000,1,0.531,8,0.019,2,0,yolo,120.5,yolo,0,0,0,0.000,0,-1,0
1785568438.805,-0.640,-12.887,0.111,0.9748,1.710,11.422,-0.427,0.2775,8.200,-0.128,-1.932,1.000,-0.893,-2.351,0.0492,-0.0173,-0.012,-0.012,-0.025,0.082,2.200,-2.000,0.0057,-0.053,nan,1.32,1,1,1,0.0461,1.000,1,0.528,8,0.004,0,0,yolo,120.5,yolo,0,0,0,0.000,0,-1,0
1785568438.836,-0.825,-11.693,0.131,0.9791,0.210,9.922,-0.377,0.2942,7.367,-0.073,-1.798,1.000,-0.570,2.157,-0.4159,2.0000,-0.021,-0.129,-0.037,0.140,2.184,-2.000,0.0057,-0.266,nan,0.95,1,1,1,0.0330,1.000,1,0.519,8,0.026,0,0,yolo,117.8,yolo,0,0,0,0.000,0,-1,0
1785568438.868,-0.825,-11.693,0.131,0.9791,0.893,9.693,-0.097,0.2837,7.367,-0.073,-1.798,1.000,-0.570,-1.718,0.1077,0.0000,-0.021,-0.021,-0.037,0.140,2.184,-2.000,0.0058,-0.266,nan,0.67,1,1,1,0.0233,1.000,1,0.519,8,0.026,0,0,yolo,117.8,yolo,0,0,0,0.000,0,-1,0
1785568438.900,-0.885,-10.528,0.137,0.9830,0.663,8.528,-0.006,0.2867,7.367,-0.073,-1.798,1.000,-0.570,-1.548,0.0975,-0.0128,-0.031,-0.031,-0.050,0.207,2.030,-2.000,0.0058,-0.420,nan,0.58,1,1,1,0.0201,1.000,1,0.449,7,0.095,0,0,yolo,117.8,yolo,0,0,0,0.000,0,-1,0
1785568438.930,-0.938,-9.424,0.144,0.9864,0.494,7.424,0.062,0.2893,7.367,-0.073,-1.798,1.000,-0.570,-1.432,0.0906,-0.0332,-0.038,-0.038,-0.071,0.267,1.884,-2.000,0.0059,-0.566,nan,0.51,1,1,1,0.0177,1.000,1,0.449,7,0.095,0,0,yolo,117.8,yolo,0,0,0,0.000,0,-1,0
1785568438.962,-1.015,-8.598,0.119,0.9886,-1.006,6.598,-0.250,0.3059,8.274,-0.033,-2.442,1.000,-0.225,2.757,-0.3731,2.0000,-0.045,-0.140,-0.111,0.321,1.273,-2.000,0.0059,-1.177,nan,0.48,1,1,1,0.0166,1.000,1,0.442,7,0.126,0,0,yolo,106.4,yolo,0,0,0,0.000,0,-1,0
1785568438.993,-0.929,-7.828,0.120,0.9906,-0.468,5.828,-0.226,0.3090,8.274,-0.033,-2.442,1.000,-0.225,-0.461,0.0879,-0.0554,-0.052,-0.052,-0.166,0.373,1.200,-2.000,0.0059,-1.291,nan,0.45,1,1,1,0.0157,1.000,1,0.442,7,0.126,0,0,yolo,106.4,yolo,0,0,0,0.000,0,-1,0
1785568439.024,-0.929,-7.828,0.120,0.9906,-0.468,5.828,-0.273,0.3090,8.274,-0.033,-2.442,1.000,-0.225,-0.461,0.0879,-0.0554,-0.052,-0.052,-0.166,0.373,1.200,-2.000,0.0059,-1.291,nan,0.50,1,1,1,0.0174,1.000,1,0.436,7,0.193,0,0,yolo,106.4,yolo,0,0,0,0.000,0,-1,0
1785568439.055,-0.922,-7.072,0.145,0.9923,-1.968,5.072,-0.473,0.2924,7.471,-0.008,-1.962,1.000,-0.062,3.293,-0.3199,-2.0000,-0.060,-0.161,-0.240,0.425,1.423,-2.000,0.0059,-1.027,nan,0.53,1,1,1,0.0187,1.000,1,0.436,7,0.193,0,0,yolo,107.7,yolo,0,0,0,0.000,0,-1,0
1785568439.085,-0.739,-6.500,0.174,0.9935,-0.871,4.500,-0.464,0.3020,7.471,-0.008,-1.962,1.000,-0.062,0.131,0.0946,-0.0659,-0.066,-0.066,-0.306,0.469,1.346,-2.000,0.0059,-1.104,nan,0.53,1,1,1,0.0183,1.000,1,0.430,7,0.216,0,0,yolo,107.7,yolo,0,0,0,0.000,0,-1,0
1785568439.119,-0.739,-6.500,0.174,0.9935,-0.871,4.500,-0.457,0.3020,7.471,-0.008,-1.962,1.000,-0.062,0.131,0.0946,-0.0659,-0.066,-0.066,-0.306,0.469,1.346,-2.000,0.0059,-1.104,nan,0.52,1,1,1,0.0181,1.000,1,0.430,7,0.216,0,0,yolo,107.7,yolo,0,0,0,0.000,0,-1,0
1785568439.151,-0.690,-5.997,0.212,0.9945,-2.371,3.997,-0.527,0.3186,8.496,0.022,-2.124,1.000,0.146,3.084,-0.2305,0.9043,-0.071,-0.155,-0.376,0.508,1.226,-2.000,0.0059,-1.224,nan,0.38,1,1,1,0.0133,1.000,1,0.371,6,0.265,0,0,yolo,99.4,yolo,0,0,0,0.000,0,-1,0
1785568439.182,-0.436,-5.506,0.257,0.9954,-1.178,3.506,-0.527,0.3062,8.496,0.022,-2.124,1.000,0.146,0.742,0.0787,-0.0906,-0.076,-0.076,-0.467,0.549,1.200,-2.000,0.0059,-1.299,nan,0.38,1,1,1,0.0133,1.000,1,0.371,6,0.265,0,0,yolo,99.4,yolo,0,0,0,0.000,0,-1,0
1785568439.219,-0.350,-5.066,0.307,0.9961,-1.141,3.066,-0.355,0.3035,8.496,0.022,-2.124,1.000,0.146,0.792,0.0754,-0.1886,-0.080,-0.080,-0.565,0.587,1.200,-2.000,0.0059,-1.365,nan,0.21,1,1,1,0.0073,1.000,1,0.369,6,0.181,0,0,yolo,99.4,yolo,0,0,0,0.000,0,-1,0
1785568439.259,-0.248,-4.720,0.340,0.9966,-2.641,2.720,-0.437,0.2868,9.163,0.045,-2.062,1.000,0.280,3.915,-0.3225,-0.9630,-0.082,-0.171,-0.649,0.620,1.200,-2.000,0.0059,-1.301,nan,0.16,1,1,1,0.0055,1.000,1,0.369,6,0.181,0,0,yolo,101.6,yolo,0,0,0,0.000,0,-1,0
1785568439.291,-0.248,-4.720,0.340,0.9966,-1.273,2.720,-0.176,0.3035,9.163,0.045,-2.062,1.000,0.280,1.025,0.0888,0.0000,-0.082,-0.082,-0.649,0.620,1.200,-2.000,0.0059,-1.301,nan,-0.10,1,1,1,-0.0036,1.000,1,0.363,6,0.193,0,0,yolo,101.6,yolo,0,0,0,0.000,0,-1,0
1785568439.321,-0.003,-4.430,0.369,0.9970,-1.066,2.430,0.019,0.3080,9.163,0.045,-2.062,1.000,0.280,1.063,0.0862,-0.0712,-0.085,-0.085,-0.720,0.649,1.200,-2.000,0.0059,-1.348,nan,-0.30,1,1,1,-0.0104,1.000,1,0.363,6,0.193,0,0,yolo,101.6,yolo,0,0,0,0.000,0,-1,0
1785568439.354,0.078,-4.151,0.378,0.9974,-2.229,2.151,-0.038,0.2913,9.584,0.052,-1.974,1.000,0.312,2.307,-0.0540,-0.7315,-0.084,-0.140,-0.798,0.678,1.200,-2.000,0.0059,-1.275,nan,-0.27,1,1,1,-0.0096,0.917,1,0.356,5,0.207,0,0,yolo,102.6,yolo,0,0,0,0.000,0,-1,0
1785568439.385,0.315,-3.901,0.371,0.9977,-0.948,1.901,-0.057,0.3072,9.584,0.052,-1.974,1.000,0.312,1.263,0.0555,-0.0646,-0.085,-0.085,-0.862,0.707,1.200,-2.000,0.0059,-1.317,nan,-0.26,1,1,1,-0.0089,0.917,1,0.356,5,0.207,0,0,yolo,102.6,yolo,0,0,0,0.000,0,-1,0
1785568439.417,0.556,-3.653,0.367,0.9979,-0.695,1.653,0.163,0.3060,9.584,0.052,-1.974,1.000,0.312,1.251,0.0563,-0.1161,-0.084,-0.084,-0.914,0.733,1.200,-2.000,0.0059,-1.358,nan,-0.48,1,1,1,-0.0166,1.000,1,0.298,5,0.680,0,0,yolo,102.6,yolo,0,0,0,0.000,0,-1,0
1785568439.448,0.558,-3.649,0.367,0.9979,-0.693,1.649,0.328,0.3060,9.584,0.052,-1.974,1.000,0.312,1.250,0.0564,-0.1171,-0.084,-0.084,-0.915,0.734,1.200,-2.000,0.0059,-1.359,nan,-0.64,1,1,1,-0.0224,1.000,1,0.298,5,0.680,0,0,yolo,102.6,yolo,0,0,0,0.000,0,-1,0
1785568439.486,0.618,-3.478,0.364,0.9981,-0.765,1.478,0.059,0.2893,9.831,0.047,-1.786,1.000,0.274,1.383,0.0390,-1.0408,-0.080,-0.102,-0.975,0.756,1.264,-2.000,0.0059,-1.186,nan,-0.33,1,1,1,-0.0116,1.000,1,0.288,5,0.653,0,0,yolo,109.3,yolo,0,0,0,0.000,0,-1,0
1785568439.533,0.694,-3.313,0.353,0.9983,-0.529,1.313,-0.171,0.3043,9.831,0.047,-1.786,1.000,0.274,1.223,0.0258,-0.0551,-0.076,-0.076,-1.031,0.779,1.236,-2.000,0.0059,-1.214,nan,-0.10,1,1,1,-0.0036,1.000,1,0.288,5,0.653,2,0,yolo,109.3,yolo,0,0,0,0.000,0,-1,0
1785568439.559,0.773,-3.141,0.351,0.9984,-0.387,1.141,-1.248,0.3027,9.831,0.047,-1.786,1.000,0.274,1.160,0.0304,-0.1092,-0.072,-0.072,-1.085,0.802,1.206,-2.000,0.0059,-1.244,nan,0.97,1,1,1,0.0340,1.000,1,0.284,5,0.616,0,0,yolo,109.3,yolo,0,0,0,0.000,0,-1,0
1785568439.592,0.804,-3.017,0.439,0.9985,-0.081,1.017,-2.031,0.2861,9.890,0.043,-1.583,1.000,0.249,0.884,0.0645,-2.0000,-0.068,-0.067,-1.142,0.821,1.390,-2.000,0.0059,-1.060,nan,1.78,1,1,1,0.0622,1.000,1,0.284,5,0.616,0,0,yolo,107.8,yolo,0,0,0,0.000,0,-1,0
1785568439.616,0.804,-3.017,0.439,0.9985,-0.409,1.017,-0.531,0.3021,9.890,0.043,-1.583,1.000,0.249,1.213,-0.0005,0.0000,-0.068,-0.068,-1.142,0.821,1.390,-2.000,0.0059,-1.060,nan,-1.25,1,1,1,-0.0436,0.900,1,0.285,4,0.528,0,0,yolo,107.8,yolo,0,0,0,0.000,0,-1,0
1785568439.637,0.800,-2.903,0.645,0.9986,-0.372,0.903,0.969,0.3005,9.890,0.043,-1.583,1.000,0.249,1.173,0.0025,-0.0475,-0.065,-0.065,-1.189,0.841,1.370,-2.000,0.0059,-1.080,nan,-1.25,1,1,1,-0.0436,0.900,1,0.285,4,0.528,0,0,yolo,107.8,yolo,0,0,0,0.000,0,-1,0
1785568439.671,0.838,-2.808,0.646,0.9987,-0.267,0.808,1.240,0.2839,9.890,0.043,-1.583,1.000,0.249,1.106,0.0074,-0.0863,-0.060,-0.060,-1.228,0.858,1.354,-2.000,0.0059,-1.096,nan,-1.49,1,1,1,-0.0520,0.900,1,0.275,4,0.554,0,0,yolo,107.8,yolo,0,0,0,0.000,0,-1,0
1785568439.704,0.838,-2.808,0.646,0.9987,0.640,0.808,-0.165,0.2672,9.861,0.028,-1.380,1.000,0.165,0.199,0.1087,-1.5102,-0.060,-0.038,-1.228,0.858,1.555,-2.000,0.0059,-0.895,nan,0.00,1,1,1,0.0000,0.969,0,0.231,4,0.566,0,0,yolo,108.2,yolo,0,0,0,0.000,0,-1,0
1785568439.731,0.878,-2.702,0.436,0.9988,-0.031,0.702,-0.165,0.2704,9.861,0.028,-1.380,1.000,0.165,0.909,-0.0121,-0.0447,-0.050,-0.050,-1.273,0.878,1.537,-2.000,0.0060,-0.913,nan,0.00,1,1,1,0.0000,0.969,0,0.231,4,0.566,0,0,yolo,108.2,yolo,0,0,0,0.000,0,-1,0
1785568439.762,0.879,-2.615,0.449,0.9988,0.065,0.615,-0.165,0.2704,9.861,0.028,-1.380,1.000,0.165,0.814,-0.0053,-0.0735,-0.043,-0.043,-1.301,0.896,1.522,-2.000,0.0061,-0.928,nan,0.00,1,1,1,0.0000,0.960,0,0.225,4,0.587,0,0,yolo,108.2,yolo,0,0,0,0.000,0,-1,0
1785568439.795,0.872,-2.544,0.519,0.9989,-0.448,0.544,-0.218,0.2538,9.918,0.038,-1.164,1.000,0.218,1.320,-0.0913,-2.0000,-0.038,-0.037,-1.307,0.913,1.728,-2.000,0.0062,-0.722,nan,0.00,1,1,1,0.0000,0.952,0,0.220,4,0.598,0,0,yolo,101.7,yolo,0,0,0,0.000,0,-1,0
1785568439.821,0.872,-2.543,0.520,0.9989,-0.002,0.543,-0.218,0.2704,9.918,0.038,-1.164,1.000,0.218,0.873,-0.0007,0.0001,-0.038,-0.038,-1.307,0.913,1.728,-2.000,0.0063,-0.722,nan,0.00,1,1,1,0.0000,0.952,0,0.220,4,0.598,0,0,yolo,101.7,yolo,0,0,0,0.000,0,-1,0
1785568439.857,0.874,-2.476,0.529,0.9990,0.093,0.476,-0.218,0.2706,9.918,0.038,-1.164,1.000,0.218,0.781,0.0061,0.0237,-0.031,-0.031,-1.283,0.930,1.716,-2.000,0.0063,-0.734,nan,0.00,1,1,1,0.0000,0.944,0,0.215,4,0.617,0,0,yolo,101.7,yolo,0,0,0,0.000,0,-1,0
1785568439.892,0.864,-2.420,0.545,0.9990,0.794,0.420,-0.161,0.2540,9.933,0.028,-0.955,1.000,0.161,0.071,0.0987,-1.9982,-0.024,-0.019,-1.258,0.945,1.916,-2.000,0.0064,-0.534,nan,0.00,1,1,1,0.0000,0.953,0,0.221,4,0.638,0,0,yolo,106.2,yolo,0,0,0,0.000,0,-1,0
1785568439.939,0.789,-2.376,0.564,0.9990,0.237,0.376,-0.161,0.2706,9.933,0.028,-0.955,1.000,0.161,0.551,0.0010,0.0279,-0.018,-0.018,-1.230,0.958,1.908,-2.000,0.0064,-0.542,nan,0.00,1,1,1,0.0000,0.953,0,0.221,4,0.638,1,0,yolo,106.2,yolo,0,0,0,0.000,0,-1,0
1785568439.970,0.769,-2.334,0.579,0.9991,0.294,0.334,-0.161,0.2708,9.933,0.028,-0.955,1.000,0.161,0.475,0.0065,0.0518,-0.012,-0.012,-1.206,0.972,1.901,-2.000,0.0065,-0.549,nan,0.00,1,1,1,0.0000,0.959,0,0.224,4,0.656,1,0,yolo,106.2,yolo,0,0,0,0.000,0,-1,0
1785568440.014,0.739,-2.295,0.593,0.9991,-0.861,0.295,-0.273,0.2541,9.506,0.045,-0.697,1.000,0.273,1.600,-0.1390,-1.7560,-0.006,-0.025,-1.187,0.986,2.135,-2.000,0.0065,-0.315,nan,0.00,1,1,1,0.0000,0.832,0,0.219,3,0.683,0,0,yolo,101.0,yolo,0,0,0,0.000,0,-1,0
1785568440.044,0.739,-2.295,0.593,0.9991,0.091,0.295,-0.273,0.2708,9.506,0.045,-0.697,1.000,0.273,0.648,0.0183,0.0000,-0.006,-0.006,-1.187,0.986,2.135,-2.000,0.0066,-0.315,nan,0.00,1,1,1,0.0000,0.832,0,0.219,3,0.683,0,0,yolo,101.0,yolo,0,0,0,0.000,0,-1,0
1785568440.082,0.826,-2.263,0.616,0.9991,0.226,0.263,-0.273,0.2816,9.506,0.045,-0.697,1.000,0.273,0.601,0.0217,0.0260,-0.003,-0.003,-1.161,0.998,2.130,-2.000,0.0066,-0.320,nan,0.00,1,1,1,0.0000,0.832,0,0.219,3,0.683,2,0,yolo,101.0,yolo,0,0,0,0.000,0,-1,0
1785568440.123,0.812,-2.231,0.643,0.9991,-1.274,0.231,-0.404,0.2650,9.164,0.065,-0.480,1.000,0.404,3.076,-0.3144,-2.0000,0.002,-0.053,-1.135,1.010,2.200,-2.000,0.0066,-0.122,nan,0.00,1,1,1,0.0000,0.829,0,0.217,3,0.696,0,0,yolo,111.8,yolo,0,0,0,0.000,0,-1,0
1785568440.154,0.786,-2.203,0.667,0.9992,0.153,0.203,-0.404,0.2751,9.164,0.065,-0.480,1.000,0.404,0.633,0.0606,0.0101,0.008,0.008,-1.124,1.022,2.200,-2.000,0.0066,-0.126,nan,0.00,1,1,1,0.0000,0.700,0,0.209,2,0.692,0,0,yolo,111.8,yolo,0,0,0,0.000,0,-1,0
1785568440.185,0.772,-2.180,0.702,0.9992,0.214,0.180,-0.404,0.2755,9.164,0.065,-0.480,1.000,0.404,0.557,0.0658,0.0162,0.013,0.013,-1.118,1.033,2.200,-2.000,0.0066,-0.130,nan,0.00,1,1,1,0.0000,0.700,0,0.209,2,0.692,0,0,yolo,111.8,yolo,0,0,0,0.000,0,-1,0
1785568440.216,0.751,-2.162,0.738,0.9992,0.020,0.162,-0.333,0.2588,9.173,0.053,-0.337,1.000,0.333,0.731,0.0845,-1.0464,0.018,-0.034,-1.116,1.044,2.200,-2.000,0.0066,0.010,nan,0.00,1,1,1,0.0000,0.589,0,0.214,1,0.704,0,0,yolo,111.5,yolo,0,0,0,0.000,0,-1,0
1785568440.249,0.749,-2.145,0.769,0.9992,0.406,0.145,-0.333,0.2707,9.173,0.053,-0.337,1.000,0.333,0.343,0.0564,0.0020,0.022,0.022,-1.114,1.055,2.200,-2.000,0.0066,0.007,nan,0.00,1,1,1,0.0000,0.589,0,0.214,1,0.704,0,0,yolo,111.5,yolo,0,0,0,0.000,0,-1,0
1785568440.282,0.749,-2.145,0.769,0.9992,0.406,0.145,-0.333,0.2707,9.173,0.053,-0.337,1.000,0.333,0.343,0.0564,0.0020,0.022,0.022,-1.114,1.055,2.200,-2.000,0.0066,0.007,nan,0.00,1,1,1,0.0000,0.559,0,0.184,1,0.717,0,0,yolo,111.5,yolo,0,0,0,0.000,0,-1,0
1785568440.321,0.709,-2.129,0.795,0.9992,0.148,0.129,-0.302,0.2541,9.196,0.049,-0.189,1.000,0.302,0.561,0.0500,-1.4689,0.027,-0.006,-1.112,1.065,2.200,-2.000,0.0066,0.154,nan,0.00,1,1,1,0.0000,0.563,0,0.188,1,0.733,0,0,yolo,102.1,yolo,0,0,0,0.000,0,-1,0
1785568440.360,0.663,-2.113,0.823,0.9993,0.400,0.113,-0.302,0.2665,9.196,0.049,-0.189,1.000,0.302,0.263,0.0382,0.0050,0.032,0.032,-1.107,1.076,2.200,-2.000,0.0066,0.151,nan,0.00,1,1,1,0.0000,0.563,0,0.188,1,0.733,0,0,yolo,102.1,yolo,0,0,0,0.000,0,-1,0
1785568440.391,0.624,-2.101,0.852,0.9993,0.426,0.101,-0.302,0.2671,9.196,0.049,-0.189,1.000,0.302,0.198,0.0428,0.0175,0.037,0.037,-1.094,1.086,2.200,-2.000,0.0066,0.149,nan,0.00,1,1,1,0.0000,0.563,0,0.188,1,0.740,0,0,yolo,102.1,yolo,0,0,0,0.000,0,-1,0
1785568440.423,0.585,-2.091,0.875,0.9993,0.051,0.091,-0.293,0.2504,9.099,0.046,-0.027,1.000,0.293,0.535,0.0153,-1.5600,0.041,0.013,-1.091,1.095,2.145,-2.000,0.0066,0.305,nan,0.00,1,1,1,0.0000,0.566,0,0.191,1,0.748,0,0,yolo,107.5,yolo,0,0,0,0.000,0,-1,0
1785568440.454,0.579,-2.082,0.898,0.9993,0.415,0.082,-0.293,0.2623,9.099,0.046,-0.027,1.000,0.293,0.163,0.0310,0.0146,0.044,0.044,-1.077,1.104,2.146,-2.000,0.0065,0.304,nan,0.00,1,1,1,0.0000,0.570,0,0.195,1,0.767,0,0,yolo,107.5,yolo,0,0,0,0.000,0,-1,0
1785568440.485,0.541,-2.074,0.922,0.9993,0.431,0.074,-0.293,0.2632,9.099,0.046,-0.027,1.000,0.293,0.111,0.0347,0.0351,0.047,0.047,-1.056,1.113,2.147,-2.000,0.0065,0.303,nan,0.00,1,1,1,0.0000,0.559,0,0.184,1,0.786,0,0,yolo,107.5,yolo,0,0,0,0.000,0,-1,0
1785568440.516,0.541,-2.074,0.922,0.9993,0.431,0.074,-0.293,0.2632,9.099,0.046,-0.027,1.000,0.293,0.111,0.0347,0.0351,0.047,0.047,-1.056,1.113,2.147,-2.000,0.0065,0.303,nan,0.00,1,1,1,0.0000,0.559,0,0.184,1,0.786,0,0,yolo,107.5,yolo,0,0,0,0.000,0,-1,0
1785568440.554,0.499,-2.066,0.946,0.9993,0.352,0.066,-0.243,0.2465,8.957,0.038,0.094,1.000,0.243,0.147,0.0579,-0.8601,0.051,0.018,-1.032,1.122,2.033,-2.000,0.0064,0.417,nan,0.00,1,1,1,0.0000,0.231,0,0.201,0,0.798,0,0,yolo,114.6,yolo,0,0,0,0.000,0,-1,0
1785568440.594,0.461,-2.059,0.970,0.9993,0.550,0.059,-0.243,0.2591,8.957,0.038,0.094,1.000,0.243,-0.089,0.0360,0.0237,0.054,0.054,-1.009,1.131,2.034,-2.000,0.0064,0.416,nan,0.00,1,1,1,0.0000,0.316,0,0.151,0,0.810,0,0,yolo,114.6,yolo,0,0,0,0.000,0,-1,0
1785568440.626,0.425,-2.052,0.992,0.9993,0.559,0.052,-0.243,0.2609,8.957,0.038,0.094,1.000,0.243,-0.134,0.0391,0.0636,0.057,0.057,-0.969,1.140,2.035,-2.000,0.0063,0.415,nan,0.00,1,1,1,0.0000,0.464,0,0.204,0,0.800,0,0,yolo,114.6,yolo,0,0,0,0.000,0,-1,0
1785568440.658,0.366,-2.046,1.014,0.9993,0.161,0.046,-0.233,0.2443,8.912,0.036,0.228,1.000,0.233,0.205,0.0165,-1.3142,0.060,0.030,-0.937,1.150,1.904,-2.000,0.0063,0.546,nan,0.00,1,1,1,0.0000,0.464,0,0.204,0,0.800,0,0,yolo,98.1,yolo,0,0,0,0.000,0,-1,0
1785568440.688,0.351,-2.041,1.036,0.9993,0.530,0.041,-0.233,0.2559,8.912,0.036,0.228,1.000,0.233,-0.179,0.0319,0.0419,0.062,0.062,-0.895,1.160,1.904,-2.000,0.0062,0.546,nan,0.00,1,1,1,0.0000,0.465,0,0.206,0,0.798,0,0,yolo,98.1,yolo,0,0,0,0.000,0,-1,0
1785568440.719,0.351,-2.041,1.036,0.9993,0.530,0.041,-0.233,0.2559,8.912,0.036,0.228,1.000,0.233,-0.179,0.0319,0.0419,0.062,0.062,-0.895,1.160,1.904,-2.000,0.0062,0.546,nan,0.00,1,1,1,0.0000,0.465,0,0.206,0,0.798,0,0,yolo,98.1,yolo,0,0,0,0.000,0,-1,0
1785568440.750,0.302,-2.037,1.055,0.9994,1.563,0.037,-0.103,0.2392,8.864,0.016,0.345,1.000,0.103,-1.262,0.2015,-1.1430,0.065,0.053,-0.854,1.168,1.790,-2.000,0.0061,0.660,nan,0.00,1,1,1,0.0000,0.461,0,0.202,0,0.783,0,0,yolo,104.6,yolo,0,0,0,0.000,0,-1,0
1785568440.788,0.150,-2.033,1.067,0.9994,0.623,0.033,-0.103,0.2530,8.864,0.016,0.345,1.000,0.103,-0.473,0.0149,0.0560,0.068,0.068,-0.798,1.177,1.791,-2.000,0.0060,0.659,nan,0.00,1,1,1,0.0000,0.456,0,0.195,0,0.763,0,0,yolo,104.6,yolo,0,0,0,0.000,0,-1,0
1785568440.832,0.093,-2.029,1.073,0.9994,0.583,0.029,-0.103,0.2552,8.864,0.016,0.345,1.000,0.103,-0.489,0.0160,0.1065,0.069,0.069,-0.748,1.186,1.791,-2.000,0.0060,0.659,nan,0.00,1,1,1,0.0000,0.456,0,0.195,0,0.763,1,0,yolo,104.6,yolo,0,0,0,0.000,0,-1,0
1785568440.874,0.041,-2.026,1.081,0.9994,1.804,0.026,0.026,0.2385,8.600,-0.004,0.465,1.000,-0.026,-1.764,0.1925,-1.0989,0.069,0.074,-0.700,1.194,1.682,-2.000,0.0059,0.768,nan,0.00,1,1,1,0.0000,0.311,0,0.143,0,0.764,0,0,yolo,101.0,yolo,0,0,0,0.000,0,-1,0
1785568440.907,-0.014,-2.023,1.090,0.9994,0.723,0.023,0.026,0.2487,8.600,-0.004,0.465,1.000,-0.026,-0.737,-0.0043,0.0395,0.069,0.069,-0.660,1.202,1.682,-2.000,0.0058,0.768,nan,0.00,1,1,1,0.0000,0.454,0,0.193,0,0.766,0,0,yolo,101.0,yolo,0,0,0,0.000,0,-1,0
1785568440.939,-0.177,-2.020,1.091,0.9994,1.380,0.020,0.098,0.2321,8.630,-0.015,0.566,1.000,-0.098,-1.557,0.1082,-1.0151,0.070,0.077,-0.611,1.209,1.580,-2.000,0.0057,0.870,nan,0.00,1,1,1,0.0000,0.313,0,0.147,0,0.775,0,0,yolo,103.4,yolo,0,0,0,0.000,0,-1,0
1785568440.970,-0.302,-2.018,1.082,0.9994,0.593,0.018,0.098,0.2461,8.630,-0.015,0.566,1.000,-0.098,-0.895,-0.0081,0.0529,0.069,0.069,-0.558,1.217,1.581,-2.000,0.0057,0.869,nan,0.00,1,1,1,0.0000,0.313,0,0.147,0,0.775,0,0,yolo,103.4,yolo,0,0,0,0.000,0,-1,0
1785568441.001,-0.352,-2.016,1.071,0.9994,0.514,0.016,0.098,0.2487,8.630,-0.015,0.566,1.000,-0.098,-0.866,-0.0100,0.1127,0.068,0.068,-0.498,1.225,1.581,-2.000,0.0056,0.869,nan,0.00,1,1,1,0.0000,0.315,0,0.149,0,0.777,0,0,yolo,103.4,yolo,0,0,0,0.000,0,-1,0
1785568441.034,-0.401,-2.015,1.063,0.9994,0.429,0.015,0.098,0.2514,8.630,-0.015,0.566,1.000,-0.098,-0.831,-0.0124,0.1741,0.065,0.065,-0.437,1.233,1.581,-2.000,0.0055,0.869,nan,0.00,1,1,1,0.0000,0.423,0,0.154,1,0.790,0,0,yolo,103.4,yolo,0,0,0,0.000,0,-1,0
1785568441.065,-0.401,-2.015,1.063,0.9994,1.187,0.015,0.172,0.2347,8.293,-0.025,0.661,1.000,-0.172,-1.589,0.0807,-0.6248,0.065,0.073,-0.437,1.233,1.498,-2.000,0.0054,0.952,nan,0.00,1,1,1,0.0000,0.568,0,0.193,1,0.767,0,0,yolo,102.4,yolo,0,0,0,0.000,0,-1,0
